epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,209.269,0.72911,0.85843,1.02067,0.9872,1,0.995,0.8778,0.52988,1.00496,0.91552,0.000366058,0.000366058,0.000366058
79,211.632,0.63598,0.71808,0.97743,0.9872,1,0.995,0.8778,0.52988,1.00496,0.91552,0.000355368,0.000355368,0.000355368
80,213.654,0.74426,0.76581,0.97305,0.9872,1,0.995,0.8778,0.52988,1.00496,0.91552,0.000344282,0.000344282,0.000344282
81,216.851,0.60993,0.8344,0.9894,0.99089,1,0.995,0.88429,0.48581,0.96364,0.88477,0.0003328,0.0003328,0.0003328
82,220.026,0.66283,0.78815,0.97815,0.99089,1,0.995,0.88429,0.48581,0.96364,0.88477,0.000320922,0.000320922,0.000320922
83,222.458,0.49817,0.66373,0.96895,0.99089,1,0.995,0.88429,0.48581,0.96364,0.88477,0.000308648,0.000308648,0.000308648
84,225.171,0.67784,0.70138,0.99622,0.99164,1,0.995,0.9042,0.47848,0.92271,0.88209,0.000295978,0.000295978,0.000295978
85,227.434,0.51378,0.69854,0.93205,0.99164,1,0.995,0.9042,0.47848,0.92271,0.88209,0.000282912,0.000282912,0.000282912
86,230.422,0.57047,0.71826,0.97628,0.99164,1,0.995,0.9042,0.47848,0.92271,0.88209,0.00026945,0.00026945,0.00026945
87,232.547,0.52975,0.69077,0.93428,0.99164,1,0.995,0.9042,0.47848,0.92271,0.88209,0.000255592,0.000255592,0.000255592
88,234.983,0.83444,0.77498,1.00433,0.99275,1,0.995,0.88977,0.47747,0.89593,0.87896,0.000241338,0.000241338,0.000241338
89,236.989,0.66712,0.73868,1.00048,0.99275,1,0.995,0.88977,0.47747,0.89593,0.87896,0.000226688,0.000226688,0.000226688
90,239.143,0.65239,0.79943,1.04336,0.99275,1,0.995,0.88977,0.47747,0.89593,0.87896,0.000211642,0.000211642,0.000211642
91,241.466,0.39901,1.01988,0.91482,0.99275,1,0.995,0.88977,0.47747,0.89593,0.87896,0.0001962,0.0001962,0.0001962
92,243.825,0.53538,1.1252,0.83093,0.99281,1,0.995,0.90452,0.45543,0.86839,0.86535,0.000180362,0.000180362,0.000180362
93,246.133,0.35962,0.79328,0.78912,0.99281,1,0.995,0.90452,0.45543,0.86839,0.86535,0.000164128,0.000164128,0.000164128
94,248.198,0.40245,0.87422,0.83169,0.99281,1,0.995,0.90452,0.45543,0.86839,0.86535,0.000147498,0.000147498,0.000147498
95,250.328,0.3887,0.82853,0.81514,0.99281,1,0.995,0.90452,0.45543,0.86839,0.86535,0.000130472,0.000130472,0.000130472
96,252.496,0.47845,1.14249,0.97865,0.99228,1,0.995,0.89641,0.44128,0.85357,0.85804,0.00011305,0.00011305,0.00011305
97,254.519,0.44846,0.93895,1.00266,0.99228,1,0.995,0.89641,0.44128,0.85357,0.85804,9.5232e-05,9.5232e-05,9.5232e-05
98,256.767,0.47005,0.97569,0.91063,0.99228,1,0.995,0.89641,0.44128,0.85357,0.85804,7.7018e-05,7.7018e-05,7.7018e-05
99,258.949,0.39334,0.90149,0.91498,0.99228,1,0.995,0.89641,0.44128,0.85357,0.85804,5.8408e-05,5.8408e-05,5.8408e-05
100,261.16,0.48683,0.92735,0.86222,0.9925,1,0.995,0.89082,0.4272,0.83917,0.8507,3.9402e-05,3.9402e-05,3.9402e-05
